video_label,video_id,title,channel_name,comment_id,text,parent_id,author,author_channel_id,likes,timestamp,negative,neutral,positive,compound,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score,emotion,sentiment_class,optimism_score,detected_language,translated_text,emotion_polarity,majority_emotion_polarity,emotionally_oppositional,emotionally_opposed_to_parent
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg,Name me 1 thing Islam has brought to the world since 64 ad....1.,root,user 1,UC1LiUfHjrZNAra7OQtkwDYw,16,2024-10-20,0,1,0,0,0.683670223,0.007423556,0.003337134,0.074721172,0.8789663,0.041152544,0.08295005,neutral,neutral,0.2004561,en,Name me 1 thing Islam has brought to the world since 64 ad....1.,neutral,neutral,FALSE,FALSE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9IoKwrD5v1,The maths you use every day.,UgzUeyxWQV2TlIvJcgx4AaABAg,user 2,UC6JcfUPRX_6GTsyLUcWcq2A,5,2024-10-20,0,1,0,0,0.276550442,0.019254891,0.007367161,0.271544546,0.91742396,0.334869683,0.025095461,neutral,neutral,0.117035344,en,The maths you use every day.,neutral,neutral,FALSE,FALSE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9IzbcBgg7p,"â€‹Â @Titus9508Â the maths we use today  is from the father of mathematics,the ancient greek mathematician Archimedes.",UgzUeyxWQV2TlIvJcgx4AaABAg,user 3,UC6vBZSqF_n1Y7kxxuaK6N3w,11,2024-10-20,0,1,0,0,0.42162177,0.008450015,0.006728165,0.065991536,0.8964546,0.109038591,0.033599235,neutral,neutral,0.40334803,en,"â€‹Â @Titus9508Â the maths we use today  is from the father of mathematics,the ancient greek mathematician Archimedes.",neutral,neutral,FALSE,FALSE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9JLnLK4Wui,â€‹@Titus9508  Came from the Greeks mate,UgzUeyxWQV2TlIvJcgx4AaABAg,user 4,UC2lhwPBh2i-1mqMqo3q09iQ,5,2024-10-20,0,1,0,0,0.196094811,0.013730712,0.003744781,0.235464469,0.91512555,0.094934553,0.03356779,neutral,neutral,0.47350612,en,â€‹@Titus9508  Came from the Greeks mate,neutral,neutral,FALSE,FALSE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9JNcOXS7pp,Â @Titus9508Â ðŸ˜‚ðŸ˜‚ lol Muhammad was illiterateðŸ˜‚ he couldnâ€™t solve 1+1,UgzUeyxWQV2TlIvJcgx4AaABAg,user 5,UC7Qfw3hggpl0uL37_QfjaEQ,9,2024-10-20,0.155,0.409,0.436,0.9062,0.03535445,0.029556941,0.013863339,0.502209008,0.71769434,0.334294587,0.13316847,neutral,positive,0.128142,en,Â @Titus9508Â ðŸ˜‚ðŸ˜‚ lol Muhammad was illiterateðŸ˜‚ he couldnâ€™t solve 1+1,neutral,neutral,FALSE,FALSE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9JvZbwcclI,Â @TomGodson95Â it didnâ€™t come from the greeks,UgzUeyxWQV2TlIvJcgx4AaABAg,user 6,UCavUWt_T7R31WhToqzEj79A,2,2024-10-20,0,1,0,0,0.28457436,0.00627862,0.003999753,0.427494794,0.74625236,0.208676636,0.21221228,neutral,neutral,0.07925415,en,Â @TomGodson95Â it didnâ€™t come from the greeks,neutral,neutral,FALSE,FALSE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9LiqQVu0R6,â€‹Â @Titus9508Â maths is older than islam over 886 years,UgzUeyxWQV2TlIvJcgx4AaABAg,user 7,UCqB6e20WdaN2FgJJ_1OfKCw,3,2024-10-20,0,1,0,0,0.186281383,0.003580619,0.003369941,0.221829906,0.7952804,0.123718008,0.1598484,neutral,neutral,0.4681707,en,â€‹Â @Titus9508Â maths is older than islam over 886 years,neutral,neutral,FALSE,FALSE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9MfCzROqot,"Islam
Has brought only death, destruction and arson!ðŸ˜®",UgzUeyxWQV2TlIvJcgx4AaABAg,user 8,UCITW747pdRCE-ZZ8gThl4PA,0,2024-10-20,0.441,0.559,0,-0.8356,0.027173392,0.07651606,0.019885262,0.949383259,0.010730136,0.016241258,0.003371368,anger,negative,0.007202105,en,"Islam
Has brought only death, destruction and arson!ðŸ˜®",negative,neutral,TRUE,TRUE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEAAYKQrcwVpz,ITS SELF ISLAM WHICH THOUGHT U NOT TO KILL WOMENS NOT TO RAPE WOMENS IT WAS U WHO AT THE TIME OF GIRLS BIRTH U USED TO KILL THEM JST BECAUSE IT WAS A GIRL ITS QURAN THAT CAME TO THE WORLD WHO GAVE A CLEAR MASSAGE OF PEACE AND HUMANITY WHO GAVE CHANCE TO THE WRONG DOEARS TO CORRECT THEIR WORK AND LIVE LIFE WITH PEACE ISLAM GAVE KNOWLEDGE TO THE WORLD THOUSANDS OF LEARNING THINGS IT ALSO MANY MORE THINGS BT BLIND PEOPLE LIKE U CANT SEE ITðŸ˜‚ðŸ˜‚ðŸ˜‚.,UgzUeyxWQV2TlIvJcgx4AaABAg,user 9,UCbzBttOx7telIjM2L2lgLjw,0,2024-11-20,0.132,0.609,0.258,0.9657,0.039210223,0.13722904,0.005721568,0.92592907,0.43323764,0.028968401,0.013244149,neutral,positive,0.005892263,en,ITS SELF ISLAM WHICH THOUGHT U NOT TO KILL WOMENS NOT TO RAPE WOMENS IT WAS U WHO AT THE TIME OF GIRLS BIRTH U USED TO KILL THEM JST BECAUSE IT WAS A GIRL ITS QURAN THAT CAME TO THE WORLD WHO GAVE A CLEAR MASSAGE OF PEACE AND HUMANITY WHO GAVE CHANCE TO THE WRONG DOEARS TO CORRECT THEIR WORK AND LIVE LIFE WITH PEACE ISLAM GAVE KNOWLEDGE TO THE WORLD THOUSANDS OF LEARNING THINGS IT ALSO MANY MORE THINGS BT BLIND PEOPLE LIKE U CANT SEE ITðŸ˜‚ðŸ˜‚ðŸ˜‚.,neutral,neutral,FALSE,FALSE
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of â€˜October 07â€™ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEAAYKZt99axI,â€‹Â @cuttingman007Â BT PROPHET MUHAMMAD SALLALLAHU ALAIHI WASALLAM GAVE EQUAL RESPECT TO EACH AND EVERYONE TO WHOM U LITERATE DONKEYS CANT GIVEðŸ˜‚ðŸ˜‚ðŸ˜‚.,UgzUeyxWQV2TlIvJcgx4AaABAg,user 9,UCbzBttOx7telIjM2L2lgLjw,0,2024-11-20,0.114,0.581,0.305,0.9106,0.064965904,0.012636838,0.004105649,0.891412199,0.83550215,0.032145843,0.012770892,neutral,positive,0.011475973,en,â€‹Â @cuttingman007Â BT PROPHET MUHAMMAD SALLALLAHU ALAIHI WASALLAM GAVE EQUAL RESPECT TO EACH AND EVERYONE TO WHOM U LITERATE DONKEYS CANT GIVEðŸ˜‚ðŸ˜‚ðŸ˜‚.,neutral,neutral,FALSE,FALSE
