root_comment_id,root_emotion,total_replies,same_emotion_count,propagation_rate,reply_emotion_distribution
UgzUeyxWQV2TlIvJcgx4AaABAg,neutral,9,8,0.8888888888888888,"{'neutral': 8, 'anger': 1}"
UgzeuScfnf839IV6OCZ4AaABAg,neutral,2,0,0.0,"{'fear': 1, 'anger': 1}"
UgwNspmSGWfIqGZq7794AaABAg,anger,1,0,0.0,{'joy': 1}
UgyBDHmjbE_rBlbSSJl4AaABAg,neutral,1,1,1.0,{'neutral': 1}
Ugy2qt4i0Tf3T6kq61B4AaABAg,surprise,5,0,0.0,"{'neutral': 2, 'joy': 1, 'anger': 1, 'sadness': 1}"
UgwktvVRx5ekkNV_MGd4AaABAg,anger,5,1,0.2,"{'joy': 1, 'neutral': 2, 'anger': 1, 'fear': 1}"
UgzzZDFybe6Cbh53MK54AaABAg,surprise,1,0,0.0,{'disgust': 1}
UgwskSfxhlpFbK11pKB4AaABAg,surprise,1,0,0.0,{'neutral': 1}
UgyzSaUCAfIUDkdldT94AaABAg,disgust,1,1,1.0,{'disgust': 1}
UgyxcW5UmPnRDjjO3SJ4AaABAg,neutral,2,0,0.0,"{'disgust': 1, 'anger': 1}"
Ugx9XlLnzoMORcWE8Bh4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgwrKi95VyxT8cSdd4B4AaABAg,anger,1,1,1.0,{'anger': 1}
UgzGsNGG5McFLooNp6B4AaABAg,fear,2,0,0.0,"{'neutral': 1, 'sadness': 1}"
Ugw2kM0oAk37vTqLETl4AaABAg,neutral,1,0,0.0,{'sadness': 1}
UgyxwkFHj__2N06AD1R4AaABAg,sadness,1,0,0.0,{'fear': 1}
UgwWLNwPHORpxXM3ZWp4AaABAg,fear,1,0,0.0,{'neutral': 1}
UgycEenS0t9iPZtIqu14AaABAg,neutral,2,1,0.5,"{'surprise': 1, 'neutral': 1}"
UgxcsCBdD6dm7hJluiJ4AaABAg,neutral,1,1,1.0,{'neutral': 1}
Ugxd_mfrnPaEJWeLAqV4AaABAg,fear,1,0,0.0,{'neutral': 1}
Ugztq7s6iUvaDlFhbS54AaABAg,sadness,2,0,0.0,{'neutral': 2}
UgznOtselLMgz9WxObB4AaABAg,neutral,2,2,1.0,{'neutral': 2}
Ugy7_FulfxNqaK9kf6Z4AaABAg,disgust,2,1,0.5,"{'disgust': 1, 'neutral': 1}"
Ugw1fojryT2ht7XkD-p4AaABAg,fear,2,0,0.0,"{'surprise': 1, 'neutral': 1}"
Ugx1CYzh6ozKN3nQtpt4AaABAg,disgust,2,0,0.0,"{'neutral': 1, 'anger': 1}"
