Source,Target
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9IoKwrD5v1,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9IzbcBgg7p,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9JLnLK4Wui,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9JNcOXS7pp,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9JvZbwcclI,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9LiqQVu0R6,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9MfCzROqot,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEAAYKQrcwVpz,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEAAYKZt99axI,UgzUeyxWQV2TlIvJcgx4AaABAg
UgzeuScfnf839IV6OCZ4AaABAg.A9IBBMk3ODnA9N5TBbGJ2W,UgzeuScfnf839IV6OCZ4AaABAg
UgzeuScfnf839IV6OCZ4AaABAg.A9IBBMk3ODnA9N5cJdSEOu,UgzeuScfnf839IV6OCZ4AaABAg
UgwNspmSGWfIqGZq7794AaABAg.A9HoD6bblciA9Mz-EECkom,UgwNspmSGWfIqGZq7794AaABAg
Ugy2qt4i0Tf3T6kq61B4AaABAg.A9HRhIbJXJ8A9HZ1EzRy9m,Ugy2qt4i0Tf3T6kq61B4AaABAg
Ugy2qt4i0Tf3T6kq61B4AaABAg.A9HRhIbJXJ8A9HdI8bTb6f,Ugy2qt4i0Tf3T6kq61B4AaABAg
Ugy2qt4i0Tf3T6kq61B4AaABAg.A9HRhIbJXJ8A9HkQ97LZX1,Ugy2qt4i0Tf3T6kq61B4AaABAg
Ugy2qt4i0Tf3T6kq61B4AaABAg.A9HRhIbJXJ8A9IIz3PtHCi,Ugy2qt4i0Tf3T6kq61B4AaABAg
UgzzZDFybe6Cbh53MK54AaABAg.AFqimtFPBjEAFqrtBGnSfJ,UgzzZDFybe6Cbh53MK54AaABAg
UgwskSfxhlpFbK11pKB4AaABAg.AFVBQ5N1vCyAFVEOty-2hy,UgwskSfxhlpFbK11pKB4AaABAg
UgyzSaUCAfIUDkdldT94AaABAg.AFGr3klNIJjAFPCZOVSP8g,UgyzSaUCAfIUDkdldT94AaABAg
UgyxcW5UmPnRDjjO3SJ4AaABAg.AFANvcEtZQgAFLNjX20DtB,UgyxcW5UmPnRDjjO3SJ4AaABAg
Ugx9XlLnzoMORcWE8Bh4AaABAg.AF5z0339UolAFAowYPv3Pi,Ugx9XlLnzoMORcWE8Bh4AaABAg
UgwrKi95VyxT8cSdd4B4AaABAg.AEbk_DilMrFAEiBCPlgyIU,UgwrKi95VyxT8cSdd4B4AaABAg
UgzGsNGG5McFLooNp6B4AaABAg.AERP-6lTDutAEV0UGxVI0b,UgzGsNGG5McFLooNp6B4AaABAg
UgzGsNGG5McFLooNp6B4AaABAg.AERP-6lTDutAEawPdS8TlO,UgzGsNGG5McFLooNp6B4AaABAg
Ugw2kM0oAk37vTqLETl4AaABAg.AEIKI8Z872-AEIhK-4X8G-,Ugw2kM0oAk37vTqLETl4AaABAg
UgyxwkFHj__2N06AD1R4AaABAg.AEHHE5yrdNnAEV0n-jQaAC,UgyxwkFHj__2N06AD1R4AaABAg
UgycEenS0t9iPZtIqu14AaABAg.AE39i8kkR0iAEM1p8CCPxa,UgycEenS0t9iPZtIqu14AaABAg
UgycEenS0t9iPZtIqu14AaABAg.AE39i8kkR0iAEyo6HQnwki,UgycEenS0t9iPZtIqu14AaABAg
UgxcsCBdD6dm7hJluiJ4AaABAg.ADwUoc2KqzpADwbog9SQjE,UgxcsCBdD6dm7hJluiJ4AaABAg
Ugxd_mfrnPaEJWeLAqV4AaABAg.ADutOG549zaAEM1xxcDBAq,Ugxd_mfrnPaEJWeLAqV4AaABAg
UgznOtselLMgz9WxObB4AaABAg.ADg8kUviVZoADgL64otedO,UgznOtselLMgz9WxObB4AaABAg
UgznOtselLMgz9WxObB4AaABAg.ADg8kUviVZoADgcHgf8ASL,UgznOtselLMgz9WxObB4AaABAg
Ugy7_FulfxNqaK9kf6Z4AaABAg.AD_-EJwf86nAD_jU-xt7rO,Ugy7_FulfxNqaK9kf6Z4AaABAg
Ugy7_FulfxNqaK9kf6Z4AaABAg.AD_-EJwf86nADeOsXz3_OD,Ugy7_FulfxNqaK9kf6Z4AaABAg
Ugw1fojryT2ht7XkD-p4AaABAg.ADXqi7ZQESgADeOzctwAxp,Ugw1fojryT2ht7XkD-p4AaABAg
Ugx1CYzh6ozKN3nQtpt4AaABAg.ADUqwmTDUaOADdqYytEigC,Ugx1CYzh6ozKN3nQtpt4AaABAg
Ugx5Fc5x1GOWd829dzF4AaABAg.ADUHSYoZuxmADVuV2MkzhJ,Ugx5Fc5x1GOWd829dzF4AaABAg
Ugx5Fc5x1GOWd829dzF4AaABAg.ADUHSYoZuxmADeP7mX7e-h,Ugx5Fc5x1GOWd829dzF4AaABAg
Ugz6D8Cc1piIaLJNQ8N4AaABAg.ADTsMHHJWwKADePHwo-iGm,Ugz6D8Cc1piIaLJNQ8N4AaABAg
UgyE5FAmttyZhQ3Oi7x4AaABAg.ADQKCivutHcADRoIOn9GtI,UgyE5FAmttyZhQ3Oi7x4AaABAg
UgyE5FAmttyZhQ3Oi7x4AaABAg.ADQKCivutHcADVcwTwNSpT,UgyE5FAmttyZhQ3Oi7x4AaABAg
UgyE5FAmttyZhQ3Oi7x4AaABAg.ADQKCivutHcADePMzUug7T,UgyE5FAmttyZhQ3Oi7x4AaABAg
UgztYKHiy-PbriWnIrR4AaABAg.ADOX0GkPcYgADRoKYUxJbU,UgztYKHiy-PbriWnIrR4AaABAg
UgztYKHiy-PbriWnIrR4AaABAg.ADOX0GkPcYgADUjDqBFe4u,UgztYKHiy-PbriWnIrR4AaABAg
UgztYKHiy-PbriWnIrR4AaABAg.ADOX0GkPcYgADePaDGdS4n,UgztYKHiy-PbriWnIrR4AaABAg
UgwKXvrbWKr0KE14_mp4AaABAg.ADMsSOX4e2tADePlGvAxGm,UgwKXvrbWKr0KE14_mp4AaABAg
UgwKXvrbWKr0KE14_mp4AaABAg.ADMsSOX4e2tADgLuihgNvp,UgwKXvrbWKr0KE14_mp4AaABAg
UgyN40KZYFCOsBzHyup4AaABAg.ADLywmK5YCfADeQ0ESu6R8,UgyN40KZYFCOsBzHyup4AaABAg
UgzM6Sz9zSf3OT-ywj54AaABAg.ADK7pkckE1GADb8Hy1-7OD,UgzM6Sz9zSf3OT-ywj54AaABAg
UgzM6Sz9zSf3OT-ywj54AaABAg.ADK7pkckE1GADeQQMujXvU,UgzM6Sz9zSf3OT-ywj54AaABAg
UgzM6Sz9zSf3OT-ywj54AaABAg.ADK7pkckE1GADpqMtzJiXU,UgzM6Sz9zSf3OT-ywj54AaABAg
UgxD8rd5R5Er7o3lzD14AaABAg.ADK1Ei8BchGADeQXgthHRh,UgxD8rd5R5Er7o3lzD14AaABAg
UgxQGgbpQpBSe1DLVKZ4AaABAg.ADK0X2riIh2ADeQdji4IX1,UgxQGgbpQpBSe1DLVKZ4AaABAg
UgwBQBPW8ucVoqadBFZ4AaABAg.ADEm00XtirKADprMzCbNiA,UgwBQBPW8ucVoqadBFZ4AaABAg
Ugytp1WHhEd2f12CHP94AaABAg.AD8S5XyimptADArYgpScoC,Ugytp1WHhEd2f12CHP94AaABAg
Ugytp1WHhEd2f12CHP94AaABAg.AD8S5XyimptADAt0iJ_86i,Ugytp1WHhEd2f12CHP94AaABAg
Ugytp1WHhEd2f12CHP94AaABAg.AD8S5XyimptADeQmYX6ArW,Ugytp1WHhEd2f12CHP94AaABAg
Ugytp1WHhEd2f12CHP94AaABAg.AD8S5XyimptAEma2zZLJe2,Ugytp1WHhEd2f12CHP94AaABAg
UgzuaiAG2utGgQUMXat4AaABAg.AD5-TNI91ePAEkZCTWCrBo,UgzuaiAG2utGgQUMXat4AaABAg
UgzEMfzUG8sr6KAGZ_l4AaABAg.AD4H_K9t84NAD8gHkMCehU,UgzEMfzUG8sr6KAGZ_l4AaABAg
UgxotaB-TDENug5GFHl4AaABAg.AD4Gnf10sSfADH89xkzRs4,UgxotaB-TDENug5GFHl4AaABAg
UgxcCKYyT2ucYOVKyLF4AaABAg.AD3n5GLEa0fADBC98HO92g,UgxcCKYyT2ucYOVKyLF4AaABAg
UgxcCKYyT2ucYOVKyLF4AaABAg.AD3n5GLEa0fAEM3Ac21TR8,UgxcCKYyT2ucYOVKyLF4AaABAg
UgzKUlRSC9rBkB70_Np4AaABAg.AD35i3FttOQADW7R_RWuuo,UgzKUlRSC9rBkB70_Np4AaABAg
UgzKUlRSC9rBkB70_Np4AaABAg.AD35i3FttOQADWMqz0cxYg,UgzKUlRSC9rBkB70_Np4AaABAg
