video_label,video_id,title,channel_name,comment_id,text,parent_id,author,author_channel_id,likes,timestamp,negative,neutral,positive,compound,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score,emotion,sentiment_class,optimism_score,detected_language,translated_text,emotion_polarity,majority_emotion_polarity,emotionally_oppositional,emotionally_opposed_to_parent
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of ‘October 07’ attack | Israel vs Hamas,ANI News,UgwNspmSGWfIqGZq7794AaABAg.A9HoD6bblciA9Mz-EECkom,Thank you for helping me not waste mine.,UgwNspmSGWfIqGZq7794AaABAg,user 13,UCrgG2-ca_O6vH80YOJ_e9TA,0,2024-10-20,0.0,0.416,0.584,0.7212,0.869313717,0.033207297,0.004398705,0.049885709,0.40799862,0.03405806,0.021471217,joy,positive,0.046742506,en,Thank you for helping me not waste mine.,positive,neutral,True,True
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of ‘October 07’ attack | Israel vs Hamas,ANI News,Ugy2qt4i0Tf3T6kq61B4AaABAg.A9HRhIbJXJ8A9HZ1EzRy9m,Gaza meh hollywood movie chal raha he.,Ugy2qt4i0Tf3T6kq61B4AaABAg,user 18,UCQBB6qKhSbP0lRZ9TfnDbYg,6,2024-10-20,0.178,0.822,0.0,-0.0772,0.092338711,0.00742463,0.002015498,0.112978548,0.21478644,0.097444139,0.015992265,joy,neutral,0.6972387,en,Gaza meh hollywood movie chal raha he.,positive,neutral,True,True
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of ‘October 07’ attack | Israel vs Hamas,ANI News,UgwktvVRx5ekkNV_MGd4AaABAg.A9HPdzGDa-rA9HbPMJTxyD,Pajjet 😂😂😂 tu kyu khush ho raha hai,UgwktvVRx5ekkNV_MGd4AaABAg,user 23,UCA9PgPXRClDHoGzIfGC7-dA,2,2024-10-20,0.172,0.483,0.344,0.8271,0.171983361,0.002066893,0.008128332,0.180441245,0.122746676,0.12763387,0.018441169,joy,positive,0.51994157,id,Pajjet,positive,neutral,True,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgzM6Sz9zSf3OT-ywj54AaABAg,"I live in Israel, we are a progressive and good country here, even though we defeat enemies and even though our news always has only sadness, our people believe in life, that's why we are such a country.",root,user 69,UCWZpwFno9LgVxxyij6Vwd2w,16,2025-01-20,0.198,0.739,0.063,-0.7351,0.890867889,0.004325275,0.000812942,0.022046646,0.023906875,0.021389678,0.002759686,joy,negative,0.06569576,en,"I live in Israel, we are a progressive and good country here, even though we defeat enemies and even though our news always has only sadness, our people believe in life, that's why we are such a country.",positive,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgzuaiAG2utGgQUMXat4AaABAg.AD5-TNI91ePAEkZG8WTc_m,Look up dancing Israelis,UgzuaiAG2utGgQUMXat4AaABAg,user 80,UCJbqrEIeW48pL_rpkutA5qQ,1,2025-02-27,0.0,1.0,0.0,0.0,0.063537017,0.02182531,0.004511573,0.029833663,0.38108522,0.039880425,0.14580387,joy,neutral,0.866749,id,Look up dancing Israelis,positive,neutral,True,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugynk1li6SpWcTZ5wVZ4AaABAg,"Where are they now. Sinwar, Haniyeh, Nasrallah, deif, assad, 😂😂😂😂 they cheered for one day. And they will cry their entire life. Gaza is blown away.",root,user 108,UC1byB_Krb2G2XwilQKkOBHQ,9,2025-01-20,0.167,0.545,0.288,0.8957,0.111937232,0.003394812,0.001850509,0.385923505,0.033786047,0.104013197,0.011044399,joy,positive,0.39812604,en,"Where are they now. Sinwar, Haniyeh, Nasrallah, deif, assad, 😂😂😂😂 they cheered for one day. And they will cry their entire life. Gaza is blown away.",positive,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgyPmvZxgoyTjwpLl1R4AaABAg,"Those ""normal people"" elected Hamas and was cheering when Israeli hostages were paraded around.",root,user 124,UCgqIQDoXlbQLh7Qe5NF-ayg,106,2025-01-20,0.0,0.798,0.202,0.5106,0.129706547,0.030627621,0.00158688,0.345867187,0.037659135,0.035198789,0.001787454,joy,positive,0.4892275,en,"Those ""normal people"" elected Hamas and was cheering when Israeli hostages were paraded around.",positive,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgzkfxNixF2Xa3YYOih4AaABAg,I appreciate you for calling Hamas what they are: terrorists.,root,user 135,UCOpWY0nV97DO6CuQS0xTSEQ,91,2024-12-20,0.277,0.541,0.182,-0.34,0.631551087,0.027712734,0.012848726,0.26495108,0.14213637,0.035191461,0.012269876,joy,negative,0.06830631,en,I appreciate you for calling Hamas what they are: terrorists.,positive,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEAD-LaSkLraX,@ Good point.,UgzvPckT8pZW20ikfdN4AaABAg,user 165,UC0284pWfMku1q3-2u0s0wXQ,2,2025-01-20,0.0,0.408,0.592,0.4404,0.486246437,0.002407102,0.00120914,0.155776918,0.13730723,0.117466122,0.14229403,joy,positive,0.2405105,en,@ Good point.,positive,neutral,True,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgwU7t1x1PzauTGfn1F4AaABAg.ABH-armbea9AE-E55X-g45,Hahaha😅,UgwU7t1x1PzauTGfn1F4AaABAg,user 199,UCoKu9eyCzcq7wzdV11s6Qig,1,2025-02-20,0.0,0.33,0.67,0.7269,0.02216153,0.005758358,0.001300349,0.018660825,0.09322998,0.011348353,0.012664329,joy,positive,0.94782925,so,Hahaha😅,positive,neutral,True,True
