video_label,video_id,title,channel_name,comment_id,text,parent_id,author,author_channel_id,likes,timestamp,negative,neutral,positive,compound,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score,emotion,sentiment_class,optimism_score,detected_language,translated_text,emotion_polarity,majority_emotion_polarity,emotionally_oppositional,emotionally_opposed_to_parent
Video 1,rzIVd35dGZ4,Terror and Tragedy: IDF releases shocking unseen footage of ‘October 07’ attack | Israel vs Hamas,ANI News,UgzUeyxWQV2TlIvJcgx4AaABAg.A9Inx9ddziEA9JLnLK4Wui,​@Titus9508  Came from the Greeks mate,UgzUeyxWQV2TlIvJcgx4AaABAg,user 4,UC2lhwPBh2i-1mqMqo3q09iQ,5,2024-10-20,0.0,1.0,0.0,0.0,0.196094811,0.013730712,0.003744781,0.235464469,0.91512555,0.094934553,0.03356779,neutral,neutral,0.47350612,en,​@Titus9508  Came from the Greeks mate,neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgyzSaUCAfIUDkdldT94AaABAg.AFGr3klNIJjAFPCZOVSP8g,You don't even know what the hannibal directive even means. Din't make stuff up.,UgyzSaUCAfIUDkdldT94AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,0,2025-03-09,0.0,1.0,0.0,0.0,0.045608845,0.5567853,0.012461138,0.911003709,0.11752012,0.028676713,0.00939052,disgust,neutral,0.014710673,en,You don't even know what the hannibal directive even means. Din't make stuff up.,negative,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgyxcW5UmPnRDjjO3SJ4AaABAg.AFANvcEtZQgAFAoeX4yxRe,Derranged people indeed.,UgyxcW5UmPnRDjjO3SJ4AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,1,2025-03-06,0.0,1.0,0.0,0.0,0.016167568,0.50984615,0.09765391,0.955990374,0.097588666,0.020773601,0.0137718,disgust,neutral,0.007068459,nl,Derranged people indeed.,negative,neutral,True,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugx9XlLnzoMORcWE8Bh4AaABAg.AF5z0339UolAFAowYPv3Pi,"And how will commiting such atrocities will bring ""your land"" back?",Ugx9XlLnzoMORcWE8Bh4AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,1,2025-03-06,0.0,1.0,0.0,0.0,0.039450485,0.29279438,0.028629694,0.906454742,0.49984652,0.046977941,0.049095895,neutral,neutral,0.007116833,en,"And how will commiting such atrocities will bring ""your land"" back?",neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugy7_FulfxNqaK9kf6Z4AaABAg.AD_-EJwf86nAD_jU-xt7rO,Don’t change the fact that Hamas is barbaric,Ugy7_FulfxNqaK9kf6Z4AaABAg,user 55,UCxHWTaDQGpRD_yNm_5OeDKQ,1,2025-02-20,0.0,1.0,0.0,0.0,0.070313543,0.7901539,0.04210209,0.889395356,0.01730539,0.032799866,0.002472396,disgust,neutral,0.007491252,en,Don’t change the fact that Hamas is barbaric,negative,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugy7_FulfxNqaK9kf6Z4AaABAg.AD_-EJwf86nADeOsXz3_OD,"People forget that Yom Kippur was on this day, half of the IDF was off-duty, meaning half of Mossad was too.",Ugy7_FulfxNqaK9kf6Z4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,1,2025-02-20,0.087,0.913,0.0,-0.2263,0.255871415,0.22026253,0.06633919,0.221977115,0.59146,0.385101557,0.018220691,neutral,negative,0.1370499,en,"People forget that Yom Kippur was on this day, half of the IDF was off-duty, meaning half of Mossad was too.",neutral,neutral,False,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugw1fojryT2ht7XkD-p4AaABAg.ADXqi7ZQESgADeOzctwAxp,"And they knew it was going to happen on October 7th why?
If it's years, its a matter of ""when"", and that's what they didn't know.",Ugw1fojryT2ht7XkD-p4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.0,0.958,0.042,0.0258,0.146810517,0.009556623,0.009726245,0.585886121,0.22305107,0.238518059,0.7005555,surprise,neutral,0.028785346,en,"And they knew it was going to happen on October 7th why?
If it's years, its a matter of ""when"", and that's what they didn't know.",neutral,neutral,False,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugx5Fc5x1GOWd829dzF4AaABAg.ADUHSYoZuxmADeP7mX7e-h," @riandisk3103  River to the Sea is just from the Jordan River to Mediterranean. It's not a Palestinian meaning, as it's geographical.",Ugx5Fc5x1GOWd829dzF4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,1,2025-02-20,0.0,1.0,0.0,0.0,0.327561378,0.027704798,0.019701898,0.141796902,0.8904403,0.170975894,0.02303662,neutral,neutral,0.35966587,en," @riandisk3103  River to the Sea is just from the Jordan River to Mediterranean. It's not a Palestinian meaning, as it's geographical.",neutral,neutral,False,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugz6D8Cc1piIaLJNQ8N4AaABAg.ADTsMHHJWwKADePHwo-iGm,"The IDF was off-duty... literally 70-80% were off-duty. This is why military bases were mostly desert.
It was the most important Jewish Holiday, Yom Kippur.",Ugz6D8Cc1piIaLJNQ8N4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.0,0.82,0.18,0.6195,0.235702887,0.059181668,0.010558824,0.217304617,0.77542704,0.334132463,0.0896024,neutral,positive,0.21286005,en,"The IDF was off-duty... literally 70-80% were off-duty. This is why military bases were mostly desert.
It was the most important Jewish Holiday, Yom Kippur.",neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgyE5FAmttyZhQ3Oi7x4AaABAg.ADQKCivutHcADePMzUug7T,Then don't comment it on a international tragedy that is about October 7th? Grow a mind please.,UgyE5FAmttyZhQ3Oi7x4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.203,0.691,0.106,-0.4767,0.067775019,0.08641515,0.1976678,0.317614973,0.4641383,0.606680095,0.048646923,neutral,negative,0.007929941,en,Then don't comment it on a international tragedy that is about October 7th? Grow a mind please.,neutral,neutral,False,False
