root_comment_id,root_emotion,root_sentiment,total_replies,same_emotion_count,emotion_propagation_rate,same_sentiment_count,sentiment_propagation_rate,reply_emotion_distribution,reply_sentiment_distribution
UgzUeyxWQV2TlIvJcgx4AaABAg,neutral,neutral,9,8,0.888888889,5,0.555555556,"{'neutral': 8, 'anger': 1}","{'neutral': 5, 'positive': 3, 'negative': 1}"
UgzeuScfnf839IV6OCZ4AaABAg,neutral,negative,2,0,0,2,1,"{'fear': 1, 'anger': 1}",{'negative': 2}
UgwNspmSGWfIqGZq7794AaABAg,anger,negative,1,0,0,0,0,{'joy': 1},{'positive': 1}
UgyBDHmjbE_rBlbSSJl4AaABAg,neutral,neutral,1,1,1,1,1,{'neutral': 1},{'neutral': 1}
Ugy2qt4i0Tf3T6kq61B4AaABAg,surprise,positive,5,0,0,2,0.4,"{'neutral': 2, 'joy': 1, 'anger': 1, 'sadness': 1}","{'positive': 2, 'neutral': 2, 'negative': 1}"
UgwktvVRx5ekkNV_MGd4AaABAg,anger,neutral,5,1,0.2,2,0.4,"{'joy': 1, 'neutral': 2, 'anger': 1, 'fear': 1}","{'positive': 3, 'neutral': 2}"
UgzzZDFybe6Cbh53MK54AaABAg,surprise,negative,1,0,0,0,0,{'disgust': 1},{'positive': 1}
UgwskSfxhlpFbK11pKB4AaABAg,surprise,negative,1,0,0,0,0,{'neutral': 1},{'neutral': 1}
UgyzSaUCAfIUDkdldT94AaABAg,disgust,negative,1,1,1,0,0,{'disgust': 1},{'neutral': 1}
UgyxcW5UmPnRDjjO3SJ4AaABAg,neutral,neutral,2,0,0,2,1,"{'disgust': 1, 'anger': 1}",{'neutral': 2}
Ugx9XlLnzoMORcWE8Bh4AaABAg,neutral,positive,1,1,1,0,0,{'neutral': 1},{'neutral': 1}
UgwrKi95VyxT8cSdd4B4AaABAg,anger,negative,1,1,1,1,1,{'anger': 1},{'negative': 1}
UgzGsNGG5McFLooNp6B4AaABAg,fear,negative,2,0,0,1,0.5,"{'neutral': 1, 'sadness': 1}","{'neutral': 1, 'negative': 1}"
Ugw2kM0oAk37vTqLETl4AaABAg,neutral,neutral,1,0,0,0,0,{'sadness': 1},{'negative': 1}
UgyxwkFHj__2N06AD1R4AaABAg,sadness,positive,1,0,0,0,0,{'fear': 1},{'negative': 1}
UgwWLNwPHORpxXM3ZWp4AaABAg,fear,negative,1,0,0,0,0,{'neutral': 1},{'neutral': 1}
UgycEenS0t9iPZtIqu14AaABAg,neutral,neutral,2,1,0.5,1,0.5,"{'surprise': 1, 'neutral': 1}","{'positive': 1, 'neutral': 1}"
UgxcsCBdD6dm7hJluiJ4AaABAg,neutral,negative,1,1,1,0,0,{'neutral': 1},{'positive': 1}
Ugxd_mfrnPaEJWeLAqV4AaABAg,fear,negative,1,0,0,1,1,{'neutral': 1},{'negative': 1}
Ugztq7s6iUvaDlFhbS54AaABAg,sadness,neutral,2,0,0,2,1,{'neutral': 2},{'neutral': 2}
UgznOtselLMgz9WxObB4AaABAg,neutral,negative,2,2,1,1,0.5,{'neutral': 2},"{'negative': 1, 'neutral': 1}"
Ugy7_FulfxNqaK9kf6Z4AaABAg,disgust,positive,2,1,0.5,0,0,"{'disgust': 1, 'neutral': 1}","{'neutral': 1, 'negative': 1}"
